"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21643","Invalid login using direct feature data","","2026-02-22","passed","2026-02-22","","User Authentication","Invalid login using direct feature data",""
"","27449","Successful login with admin credentials","","2026-02-22","passed","2026-02-22","","User Authentication","Successful login with admin credentials",""
