"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17930","Test 1 Successful login with admin credentials","","2026-02-20","failed","2026-02-20","","User Authentication","Test 1 Successful login with admin credentials",""
"","3736","Test 2 Successful login with admin credentials","","2026-02-20","broken","2026-02-20","","User Authentication","Test 2 Successful login with admin credentials",""
"","16498","Test 3 Successful login with admin credentials","","2026-02-20","passed","2026-02-20","","User Authentication","Test 3 Successful login with admin credentials",""
